ID;TYPE_CODE;NAME;DESCRIPTION
12cca853-08d1-4177-a1d6-7f8366a022a1;dev;Persevering bottom-line installation;leverage robust technologies
32ae3e7b-9087-482a-81b6-aa4f69f2dba9;dev;Realigned disintermediate alliance;unleash sexy synergies
e55aa167-9c55-48de-98a5-a06aa16112e9;dev;Profound multi-tasking middleware;innovate leading-edge deliverables
0aa84848-5129-4a46-8f03-1d756bb63e0e;dev;Optional responsive algorithm;engineer strategic channels
f6d6d6ef-ad96-4ffc-8363-d7484588d948;dev;Right-sized 6th generation policy;orchestrate cross-media markets
6152a144-0dd9-4c23-ab7e-d53e058bfb48;dev;Automated object-oriented capacity;iterate 24/365 synergies
d8f8e7b6-35b8-4278-945a-9a50d2c8b1ed;dev;Optional zero defect knowledge user;aggregate real-time systems
af4ece3e-8b14-4582-8a4e-82d622daec0c;dev;Streamlined directional leverage;streamline holistic metrics
a7cab412-ddbd-4905-8bc3-eb910553335c;dev;Optimized contextually-based process improvement;expedite leading-edge infomediaries
de90b0b2-67c7-4b48-a0e4-b8590ad1c458;cust;Operative national knowledge user;morph plug-and-play models
ea5908a0-688e-4637-90ab-c75b00c1e2f3;cust;Fully-configurable neutral framework;whiteboard B2B convergence
9cca56b6-e3a3-470e-827b-295a53886e74;cust;Self-enabling context-sensitive model;generate strategic initiatives
b538bb80-d894-41f8-b0eb-dd6fa45b2d0d;cust;Networked static conglomeration;unleash one-to-one paradigms
ff5f377d-7b7c-4647-95a2-b96bcbb8b01c;cust;Face to face optimizing hardware;enhance dynamic partnerships
87ba605b-ba3a-4867-8b71-1d0b6a001c0a;cust;Optimized grid-enabled budgetary management;recontextualize back-end e-business
cebf24cb-32ca-4399-a35c-01f7785d539d;cust;Team-oriented methodical instruction set;transition interactive infrastructures
6ede58ef-d50a-437a-aa7b-9356ee7ff38b;cust;Upgradable bi-directional monitoring;e-enable B2C users
c9f6817d-7f45-43d8-8c21-da264b5cfa70;cust;Ameliorated 5th generation circuit;e-enable world-class networks
cab740f1-40fe-4a72-be4a-a248f415c184;res;Exclusive neutral extranet;transform integrated technologies
35d58bf8-d08d-4722-8417-404804b26257;res;Synergistic composite info-mediaries;deploy cross-media niches